TimeStamp,RAW
2021-11-05T14:00:33.6015000Z,T|113446||151.6|100||1636120833.6015|||||||||
2021-11-05T14:00:35.8989000Z,T|113554||151.6|100||1636120835.8989|||||||||
2021-11-05T14:00:35.8989000Z,T|113556||151.6|100||1636120835.8989|||||||||
2021-11-05T14:00:35.9046000Z,T|113569||151.6|100||1636120835.9046|||||||||
2021-11-05T14:00:35.9046000Z,T|113575||151.6|22||1636120835.9046|||||||||
2021-11-05T14:00:38.3443000Z,T|113702||151.62|100||1636120838.3443|||||||||
2021-11-05T14:00:38.3874000Z,T|113729||151.62|100||1636120838.3874|||||||||
2021-11-05T14:00:40.1614000Z,T|113815||151.59|100||1636120840.1614|||||||||
2021-11-05T14:00:41.4530000Z,T|113893||151.57|100||1636120841.453|||||||||
2021-11-05T14:00:41.5241000Z,T|113913||151.56|40||1636120841.5241|||||||||
2021-11-05T14:00:41.5465000Z,T|113935||151.57|200||1636120841.5465|||||||||
2021-11-05T14:00:41.7456000Z,T|113973||151.58|100||1636120841.7456|||||||||
2021-11-05T14:00:41.7456000Z,T|113975||151.58|100||1636120841.7456|||||||||
2021-11-05T14:00:41.7456000Z,T|113977||151.59|100||1636120841.7456|||||||||
2021-11-05T14:00:41.7456000Z,T|113979||151.59|300||1636120841.7456|||||||||
2021-11-05T14:00:41.7456000Z,T|113981||151.59|2||1636120841.7456|||||||||
2021-11-05T14:00:41.7456000Z,T|113983||151.6|100||1636120841.7456|||||||||
2021-11-05T14:00:41.7456000Z,T|113985||151.6|52||1636120841.7456|||||||||
2021-11-05T14:00:41.8643000Z,T|114038||151.58|100||1636120841.8643|||||||||
2021-11-05T14:00:42.7819000Z,T|114089||151.57|100||1636120842.7819|||||||||
2021-11-05T14:00:42.7871000Z,T|114092||151.57|100||1636120842.7871|||||||||
2021-11-05T14:00:42.9465000Z,T|114100||151.57|48||1636120842.9465|||||||||
2021-11-05T14:00:42.9465000Z,T|114102||151.57|52||1636120842.9465|||||||||
2021-11-05T14:00:45.3314000Z,T|114197||151.57|80||1636120845.3314|||||||||
2021-11-05T14:00:48.1128000Z,T|114277||151.58|51||1636120848.1128|||||||||
2021-11-05T14:00:48.1128000Z,T|114279||151.58|49||1636120848.1128|||||||||
2021-11-05T14:00:48.1128000Z,T|114281||151.58|100||1636120848.1128|||||||||
2021-11-05T14:00:48.9437000Z,T|114342||151.58|100||1636120848.9437|||||||||
2021-11-05T14:00:51.8730000Z,T|114448||151.59|100||1636120851.873|||||||||
2021-11-05T14:00:52.4884000Z,T|114493||151.61|100||1636120852.4884|||||||||
2021-11-05T14:00:52.4884000Z,T|114494||151.61|2||1636120852.4884|||||||||
2021-11-05T14:00:52.6125000Z,T|114517||151.6|5||1636120852.6125|||||||||
2021-11-05T14:00:52.6125000Z,T|114520||151.6|95||1636120852.6125|||||||||
2021-11-05T14:00:52.7992000Z,T|114534||151.59|100||1636120852.7992|||||||||
2021-11-05T14:00:52.7992000Z,T|114536||151.59|100||1636120852.7992|||||||||
2021-11-05T14:00:52.7992000Z,T|114538||151.59|100||1636120852.7992|||||||||
2021-11-05T14:00:52.7992000Z,T|114540||151.59|100||1636120852.7992|||||||||
2021-11-05T14:00:54.9439000Z,T|114621||151.58|100||1636120854.9439|||||||||
2021-11-05T14:00:56.1087000Z,T|114690||151.58|100||1636120856.1087|||||||||
2021-11-05T14:00:56.1087000Z,T|114692||151.58|100||1636120856.1087|||||||||
2021-11-05T14:00:56.1087000Z,T|114694||151.58|100||1636120856.1087|||||||||
2021-11-05T14:01:00.0238000Z,T|114827||151.58|29||1636120860.0238|||||||||
2021-11-05T14:01:00.2342000Z,T|114851||151.57|100||1636120860.2342|||||||||
2021-11-05T14:01:00.2342000Z,T|114852||151.57|100||1636120860.2342|||||||||
2021-11-05T14:01:01.7681000Z,T|114915||151.59|100||1636120861.7681|||||||||
2021-11-05T14:01:01.7681000Z,T|114917||151.59|100||1636120861.7681|||||||||
2021-11-05T14:01:04.5876000Z,T|115126||151.555|100||1636120864.5876|||||||||
