time_stamp,seconds,nanos,bid_size,bid_price,ask_price,ask_size,trade_price,trade_size,not_shown_book_ticks_before
2022-01-14 14:55:05.9724,1642172105,972400000,,,,,173,20,
2022-01-14 14:55:05.9724,1642172105,972400000,304,172.99,173,608,,,1
2022-01-14 14:55:05.9724,1642172105,972400000,,,,,173,37,
2022-01-14 14:55:05.9724,1642172105,972400000,304,172.99,173,598,,,1
2022-01-14 14:55:05.9724,1642172105,972400000,,,,,173,7,
2022-01-14 14:55:05.9724,1642172105,972400000,504,172.99,173,505,,,2
2022-01-14 14:55:05.9724,1642172105,972400000,,,,,173,93,
2022-01-14 14:55:05.9724,1642172105,972400000,504,172.99,173,500,,,1
2022-01-14 14:55:05.9724,1642172105,972400000,,,,,173,5,
2022-01-14 14:55:05.9724,1642172105,972400000,504,172.99,173.02,300,,,1
2022-01-14 14:55:05.9724,1642172105,972400000,,,,,173,100,
2022-01-14 14:55:05.9724,1642172105,972400000,,,,,173,1,
2022-01-14 14:55:05.9724,1642172105,972400000,,,,,173,8,
2022-01-14 14:55:05.9778,1642172105,977800000,300,173.01,173.04,146,,,18
2022-01-14 14:55:05.9778,1642172105,977800000,,,,,173.02,100,
2022-01-14 14:55:05.9832,1642172105,983200000,4,173,173.02,100,,,24
2022-01-14 14:55:05.9832,1642172105,983200000,,,,,173.01,4,
2022-01-14 14:55:05.9832,1642172105,983200000,4,173,173.02,165,,,2
2022-01-14 14:55:05.9832,1642172105,983200000,,,,,173.01,100,
2022-01-14 14:55:05.9885,1642172105,988500000,404,172.99,173.01,100,,,23
2022-01-14 14:55:05.9885,1642172105,988500000,,,,,173,4,
2022-01-14 14:55:05.9885,1642172105,988500000,404,172.98,173,500,,,11
2022-01-14 14:55:05.9885,1642172105,988500000,,,,,172.99,4,
2022-01-14 14:55:06.0743,1642172106,74300000,304,172.97,173,612,,,46
2022-01-14 14:55:06.0743,1642172106,74300000,,,,,172.98,100,
2022-01-14 14:55:06.2476,1642172106,247600000,400,172.98,173,100,,,32
2022-01-14 14:55:06.2476,1642172106,247600000,,,,,173,200,
2022-01-14 14:55:06.2476,1642172106,247600000,400,172.98,173.01,212,,,1
2022-01-14 14:55:06.2476,1642172106,247600000,,,,,173,100,
2022-01-14 14:55:06.4002,1642172106,400200000,100,173,173.02,304,,,53
2022-01-14 14:55:06.4002,1642172106,400200000,,,,,173,100,
2022-01-14 14:55:06.4213,1642172106,421300000,500,173.01,173.02,4,,,31
2022-01-14 14:55:06.4213,1642172106,421300000,,,,,173.02,100,
2022-01-14 14:55:06.4599,1642172106,459900000,300,173.01,173.02,4,,,18
2022-01-14 14:55:06.4599,1642172106,459900000,,,,,173.01,100,
2022-01-14 14:55:06.4985,1642172106,498500000,100,173.04,173.05,224,,,58
2022-01-14 14:55:06.4985,1642172106,498500000,,,,,173.05,76,
2022-01-14 14:55:06.4985,1642172106,498500000,300,173.03,173.06,146,,,8
2022-01-14 14:55:06.4985,1642172106,498500000,,,,,173.05,100,
2022-01-14 14:55:06.502,1642172106,502000000,431,173.04,173.07,153,,,11
2022-01-14 14:55:06.502,1642172106,502000000,,,,,173.06,100,
2022-01-14 14:55:06.502,1642172106,502000000,500,173.05,173.07,153,,,4
2022-01-14 14:55:06.502,1642172106,502000000,,,,,173.06,24,
2022-01-14 14:55:06.502,1642172106,502000000,400,173.05,173.07,253,,,1
2022-01-14 14:55:06.502,1642172106,502000000,,,,,173.06,100,
2022-01-14 14:55:06.5468,1642172106,546800000,85,173.05,173.06,200,,,25
2022-01-14 14:55:06.5468,1642172106,546800000,,,,,173.05,15,
2022-01-14 14:55:06.5801,1642172106,580100000,100,173.05,173.07,229,,,18
2022-01-14 14:55:06.5801,1642172106,580100000,,,,,173.055,100,
2022-01-14 14:55:06.5801,1642172106,580100000,500,173.04,173.07,229,,,1
