Timestamp,Tick
2022-04-05 16:00:01.588600,Q|158295||177.55|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158296||177.56|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158297||177.55|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158298||177.56|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158299||177.55|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158300||177.56|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158301||177.55|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158302||177.56|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158303||177.55|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158304||177.56|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158305||177.55|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158306||177.56|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158307||177.55|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158308||177.56|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158309||177.55|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158310||177.56|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158311||177.55|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158312||177.56|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158313||177.55|100|177.57|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158314||177.55|100|177.58|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158315||177.56|100|177.58|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158316||177.55|100|177.58|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158317||177.56|100|177.58|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158318||177.55|102|177.58|100||1649167201.5886|
2022-04-05 16:00:01.597400,Q|158319||177.55|202|177.58|100||1649167201.5974|
2022-04-05 16:00:01.597400,Q|158320||177.56|100|177.58|100||1649167201.5974|
2022-04-05 16:00:01.597400,Q|158321||177.56|100|177.59|200||1649167201.5974|
2022-04-05 16:00:01.605300,Q|158322||177.56|200|177.59|200||1649167201.6053|
2022-04-05 16:00:01.610700,Q|158323||177.56|200|177.59|300||1649167201.6107|
2022-04-05 16:00:01.610700,Q|158324||177.56|100|177.59|300||1649167201.6107|
2022-04-05 16:00:01.697300,Q|158325||177.56|100|177.59|301||1649167201.6973|
2022-04-05 16:00:01.697300,Q|158326||177.56|100|177.59|401||1649167201.6973|
2022-04-05 16:00:01.926600,Q|158327||177.56|100|177.58|100||1649167201.9266|
2022-04-05 16:00:02.004100,Q|158328||177.56|100|177.58|200||1649167202.0041|
2022-04-05 16:00:02.027100,Q|158329||177.55|102|177.58|200||1649167202.0271|
2022-04-05 16:00:02.059500,Q|158330||177.55|202|177.58|200||1649167202.0595|
2022-04-05 16:00:02.091600,Q|158331||177.55|200|177.58|200||1649167202.0916|
2022-04-05 16:00:02.091600,Q|158332||177.55|100|177.58|200||1649167202.0916|
2022-04-05 16:00:02.091600,Q|158333||177.55|100|177.57|100||1649167202.0916|
2022-04-05 16:00:02.158200,Q|158334||177.55|100|177.57|200||1649167202.1582|
2022-04-05 16:00:02.163400,Q|158335||177.55|100|177.57|100||1649167202.1634|
2022-04-05 16:00:02.169200,Q|158336||177.55|100|177.58|200||1649167202.1692|
2022-04-05 16:00:02.169200,Q|158337||177.56|100|177.58|200||1649167202.1692|
2022-04-05 16:00:02.169200,Q|158338||177.56|100|177.58|100||1649167202.1692|
