Name,Ticker,Exchange,Primary,Country,Currency
Capital Link Global Green Energy Transport And Technology Leaders Etf,EKAR,BATS,XNYS,US,USD
Ishares US Equity Factor Etf,LRGF,BATS,XNYS,US,USD
Nationwide Dow Jones Risk Managed Income Etf,NDJI,BATS,XNYS,US,USD
Pacer Metaurus Us Large Cap Dividend Multiplier 300 Etf,TRPL,BATS,XNYS,US,USD
Direxion Shares Etf Trust Daily 7-10 Yr Treas Bull 3X,TYD,BATS,XNYS,US,USD
Hartford Funds Exchange Traded Tr Schroders Tax Aware Bond Etf Usd,HTAB,BATS,XNYS,US,USD
Pimco Senior Loan Active Exchange-Traded Fund,LONZ,BATS,XNYS,US,USD
Sterling Capital Diverse Multi-Manager Active Etf,DEIF,BATS,XNYS,US,USD
Columbia Etf Tr I Research Enhanced Core Etf,RECS,BATS,XNYS,US,USD
Vaneck Merk Gold Trust Gold Trust,OUNZ,BATS,XNYS,US,USD
Direxion Daily SP Oil Gas Exp Prod Bull 2X Shares,GUSH,BATS,XNYS,US,USD
Direxion Shares Etf Trust Dirxon Dly Retail Bull 3X Shs PS,RETL,BATS,XNYS,US,USD
John Hancock Exchange Traded Fd Tr Multifactor Energy Etf,JHME,BATS,XNYS,US,USD
Ishares Trust Morningstar Sm-Cap Gwth Etf,ISCG,BATS,XNYS,US,USD
Fidelity Covington Trust International High Dividend Etf,FIDI,BATS,XNYS,US,USD
First Trust Exchange Traded Fund Dow Jones Internet Index Usd Dis,FDN,BATS,XNYS,US,USD
Pacer Csop Ftse China A50 Etf,AFTY,BATS,XNYS,US,USD
Renaissance Cap Greenwich Funds International Ipo Etf,IPOS,BATS,XNYS,US,USD
Flexshares Trust High Yield Value Scored Bond Index Fund,HYGV,BATS,XNYS,US,USD
John Hancock Exchange Traded Fd Tr Multifactor Consumer Discretionary Etf,JHMC,BATS,XNYS,US,USD
Direxion Low Priced Stock Etf,LOPX,BATS,XNYS,US,USD
Proshares Trust Pshs Ultsh 20Yrs New,TBT,BATS,XNYS,US,USD
T Rowe Price Qm US Bond Etf,TAGG,BATS,XNYS,US,USD
Spdr Bloomberg High Yield Bond Etf,JNK,BATS,XNYS,US,USD
Direxion Moonshot Innovators Etf,MOON,BATS,XNYS,US,USD
Innovator Power Buffer Step-Up Strategy,PSTP,BATS,XNYS,US,USD
Advisorshares Q Dynamic Growth Etf,QPX,BATS,XNYS,US,USD
Imgp Rba Responsible Global Allocation Etf,IRBA,BATS,XNYS,US,USD
Ishares Inc Msci Spain Etf,EWP,BATS,XNYS,US,USD
Proshares Short Bitcoin Strategy Etf,BITI,BATS,XNYS,US,USD
Ishares Trust Msci Peru Etf,EPU,BATS,XNYS,US,USD
First Trust Expanded Technology Etf,XPND,BATS,XNYS,US,USD
Direxion Shares Etf Trust Direxion Daily Finl Br 3X Sh New 21RS,FAZ,BATS,XNYS,US,USD
Invesco Exchange Traded Fd Tr SP 500 Quality Etf,SPHQ,BATS,XNYS,US,USD
Fidelity Covington Trust Msci Information Technology Index Etf,FTEC,BATS,XNYS,US,USD
Dimensional US Targeted Value Etf,DFAT,BATS,XNYS,US,USD
Vaneck International High Yield Bond Etf,IHY,BATS,XNYS,US,USD
Spdr Index Shares Funds Spdr SP Emerging Asia Pacif,GMF,BATS,XNYS,US,USD
Ishares Trust Global Finls Etf,IXG,BATS,XNYS,US,USD
Ishares Trust Latin America 40 Etf,ILF,BATS,XNYS,US,USD
Microsectors Travel -3X Inverse Leveraged Etn,FLYD,BATS,XNYS,US,USD
American Century Multisector Income Etf,MUSI,BATS,XNYS,US,USD
Direxion Daily Gold Miners Index Bear 2X Shares,DUST,BATS,XNYS,US,USD
Pimco Etf Trust Investment Grade Corp Bond Etf,CORP,BATS,XNYS,US,USD
Wedbush Etfmg Global Cloud Technology Etf,IVES,BATS,XNYS,US,USD
Atac Us Rotation Etf,RORO,BATS,XNYS,US,USD
Invesco Exchange Traded Fd Tr SP Smallcap Momentum Etf,XSMO,BATS,XNYS,US,USD
Direxion Shares Etf Trust Daily Aerospace Defense Bull 3X Shares,DFEN,BATS,XNYS,US,USD
Select Sector Spdr Trust Sbi Consumer Discretionary,XLY,BATS,XNYS,US,USD
Direxion Shares Etf Trust Daily Ftse China Bear 3X,YANG,BATS,XNYS,US,USD
Direxion Daily Junior Gold Miners Index Bear 2X Shares,JDST,BATS,XNYS,US,USD
First Trust Exchange Traded Fd Dow 30 Equal Weight Etf Usd,EDOW,BATS,XNYS,US,USD
Kfa Mount Lucas Index Strategy Etf,KMLM,BATS,XNYS,US,USD
First Trust New York Municipal High Income Etf,FMNY,BATS,XNYS,US,USD
Proshares Trust Ultra Msci Japan,EZJ,BATS,XNYS,US,USD
Direxion Daily Energy Bull 2X Shares,ERX,BATS,XNYS,US,USD
Proshares Trust Ultra Telecommunications,LTL,BATS,XNYS,US,USD
Xtrackers Msci Eafe Esg Leaders Equity Etf,EASG,BATS,XNYS,US,USD
Alpha Dog Etf,RUFF,BATS,XNYS,US,USD
Abrdn Physical Precious Metals Basket Shares Etf,GLTR,BATS,XNYS,US,USD
Distillate International Fundamental Stability Value Etf,DSTX,BATS,XNYS,US,USD
Goldman Sachs Future Consumer Equity Etf,GBUY,BATS,XNYS,US,USD
Advisorshares Trust Pure Cannabis Etf,YOLO,BATS,XNYS,US,USD
First Trust Exch Traded Fund 2 Global Wind Energy Etf,FAN,BATS,XNYS,US,USD
Spdr Bloomberg Convertible Securities Etf,CWB,BATS,XNYS,US,USD
Ishares Trust Na Tech-Multimed Netwrk Etf,IGN,BATS,XNYS,US,USD
Bny Mellon Us Mid Cap Core Equity Etf,BKMC,BATS,XNYS,US,USD
Pimco Etf Trust 15 Yr Us Tips Index Fd Etf,LTPZ,BATS,XNYS,US,USD
Invesco Exchange Traded Fd Tr SP Smallcap 600 Pure Growth Etf,RZG,BATS,XNYS,US,USD
Fidelity Covington Trust Msci Energy Index Etf,FENY,BATS,XNYS,US,USD
