Name,Ticker,Exchange,Primary,Index,Isin,Cusip,Sedol
Cafom Sa,CAFO,XPAR,XPAR,[],FR0010151589,F17977103,B05HV24
Cegedim Sa,CGM,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000053506,,5456233
Metabolic Explorer Sa,METEX,XPAR,XPAR,[],FR0004177046,F61346106,B03LYZ2
Legrand Sa,LR,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0010307819,F56196185,B11ZRK9
Eurofins Scientific Se,ERF,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0014000MR3,L31839134,BNDPYV1
Television Francaise 1 Sa,TFI,XPAR,XPAR,[],FR0000054900,F91255103,5997118
Coheris SA,COH,XPAR,XPAR,[],FR0004031763,F19289101,5929456
Thales SA,HO,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000121329,F9156M108,4162791
Valeo Sa,FR,XPAR,XPAR,['Euro Stoxx 600'],FR0013176526,F96221340,BDC5ST8
Etablissements Maurel Et Prom Sa,MAU,XPAR,XPAR,[],FR0000051070,F60858101,B05DY78
Jcdecaux Sa,DEC,XPAR,XPAR,['Euro Stoxx 600'],FR0000077919,F5333N100,7136663
Beneteau Sa,BEN,XPAR,XPAR,[],FR0000035164,F09419106,7309283
LDC,LOUP,XPAR,XPAR,[],FR0013204336,F5588Z105,BD5BPJ2
Infotel Sa,INF,XPAR,XPAR,[],FR0000071797,,5604667
Elior Group,ELIOR,XPAR,XPAR,[],FR0011950732,F3253Q112,BN40H61
Nacon Sa,NACON,XPAR,XPAR,[],FR0013482791,,BL4SFK1
Compagnie De Lodet Se,ODET,XPAR,XPAR,[],FR0000062234,F5758F103,4318806
Eramet Sa,ERA,XPAR,XPAR,[],FR0000131757,F3145H130,4017017
Soitec Sa,SOI,XPAR,XPAR,[],FR0013227113,F8582K389,BZ6T5C2
Faurecia Se,EO,XPAR,XPAR,['Euro Stoxx 600'],FR0000121147,F3445A108,4400446
Neoen Sa,NEOEN,XPAR,XPAR,[],FR0011675362,F6517R107,BGV7F95
Renault Sa,RNO,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000131906,F77098105,4712798
Veolia Environnement,VIE,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000124141,F9686M107,4031879
Lisi Sa,FII,XPAR,XPAR,[],FR0000050353,F5754P105,5489916
Lna Sante Sa,LNA,XPAR,XPAR,[],FR0004170017,F5641R108,B03GCV9
Albioma Sa,ABIO,XPAR,XPAR,[],FR0000060402,F0190K109,B188CY0
Ateme Sa,ATEME,XPAR,XPAR,[],FR0011992700,F0414R138,BNGWYJ7
Nrj Group SA,NRG,XPAR,XPAR,"['Russell 1000', 'Russell 3000', 'Snp 500']",FR0000121691,F6637Z112,5996126
Aures Technologies Sa,AURS,XPAR,XPAR,[],FR0013183589,F0500Q101,BD065D6
Mersen Sa,MRN,XPAR,XPAR,[],FR0000039620,F9622M146,5481202
Quadient Sa,QDT,XPAR,XPAR,[],FR0000120560,F7488R100,5617096
Seb,SK,XPAR,XPAR,['Euro Stoxx 600'],FR0000121709,F82059100,4792132
Believe Sa,BLV,XPAR,XPAR,[],FR0014003FE9,F1R34G149,BN0SCC0
Euronext Nv,ENX,XPAR,XPAR,['Euro Stoxx 600'],NL0006294274,N3113K397,BNBNSG0
Ald SA,ALD,XPAR,XPAR,[],FR0013258662,F0195N108,BF03BV1
Tarkett SA,TKTT,XPAR,XPAR,[],FR0004188670,,BGH15L3
Covivio Sa,COV,XPAR,XPAR,['Euro Stoxx 600'],FR0000064578,,7745638
