Name,Ticker,Exchange,Primary,Index,Isin,Cusip,Sedol
Sartorius Stedim Biotech,DIMp,CHIX,XPAR,['Euro Stoxx 600'],FR0013154002,F8005V210,BYZ2QP5
Innate Pharma Sa,IPHp,CHIX,XPAR,[],FR0010331421,F5277D100,B1G5FB1
Air Liquide Sa,AIp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600', 'Russell 2000', 'Russell 3000']",FR0000120073,F01764103,B1YXBJ7
Euroapi Sa,EAPIp,CHIX,XPAR,['Cac 40'],FR0014008VX5,F33077102,BQ7ZVF1
Nhoa,NHOAp,CHIX,XPAR,[],FR0012650166,F76292105,BWV0D14
Sodexo Sa,SWp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000121220,F84941123,7062713
Lisi,FIIp,CHIX,XPAR,[],FR0000050353,F5754P105,5489916
Burelle Sa,BURp,CHIX,XPAR,[],FR0000061137,F12264127,4152769
Gensight Biologics Sa,SIGHTp,CHIX,XPAR,[],FR0013183985,F4374K117,BD07M05
Remy Cointreau Sa,RCOp,CHIX,XPAR,['Euro Stoxx 600'],FR0000130395,F7725A100,4741714
Ol Groupe Sa,OLGp,CHIX,XPAR,[],FR0010428771,F67262109,B1PMPV3
Exel Industries,EXEp,CHIX,XPAR,[],FR0004527638,F9094V103,5266528
La Francaise Des Jeux Saem,FDJp,CHIX,XPAR,[],FR0013451333,F55896108,BG0SC10
Pcas,PCAp,CHIX,XPAR,[],FR0000053514,F7522B103,5834903
Nexans Sa,NEXp,CHIX,XPAR,[],FR0000044448,F65277109,7130836
Eiffage Sa,FGRp,CHIX,XPAR,['Euro Stoxx 600'],FR0000130452,F2924U106,B13X013
Cbo Territoria,CBOTp,CHIX,XPAR,[],FR0010193979,F1524G103,B08TZN6
Societe Bic Sa,BBp,CHIX,XPAR,['Euro Stoxx 600'],FR0000120966,F10080103,5298781
Pernod Ricard Sa,RIp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000120693,F72027109,4682329
Lectra,LSSp,CHIX,XPAR,[],FR0000065484,F56028107,4508663
Trigano Sa,TRIp,CHIX,XPAR,[],FR0005691656,F93488108,4457624
Synergie Se,SDGp,CHIX,XPAR,[],FR0000032658,F90342118,5999749
Cgg Sa,CGGp,CHIX,XPAR,[],FR0013181864,,BYVFMG1
Mersen Sa,MRNp,CHIX,XPAR,[],FR0000039620,F9622M146,5481202
Atos Se,ATOp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000051732,F06116101,5654781
Equasens,EQSp,CHIX,XPAR,[],FR0012882389,F7242R115,BZ04NV8
Memscap Sa,MEMSp,CHIX,XPAR,[],FR0010298620,F6112P225,B114KJ6
Virbac Sa,VIRPp,CHIX,XPAR,[],FR0000031577,F97900116,7399369
Carrefour Sa,CAp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000120172,F13923119,5641567
Voltalia Sa,VLTSAp,CHIX,XPAR,[],FR0011995588,F98177128,BNLPTL8
Teleperformance,TEPp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000051807,F9120F106,5999330
Inventiva Saca,IVAp,CHIX,XPAR,[],FR0013233012,F5R343107,BD3DW55
Hf Co,ALHFp,CHIX,XPAR,[],FR0000038531,F48158103,B05Q8M0
Linedata Services,LINp,CHIX,XPAR,"['Dax', 'Euro Stoxx 600', 'Russell 1000', 'Russell 3000', 'Snp 500']",FR0004156297,F57273116,5967876
Antin Infrastructure Partners Sa,ANTINp,CHIX,XPAR,[],FR0014005AL0,,BNZJDK3
Etablissements Maurel Et Prom Sa,MAUp,CHIX,XPAR,[],FR0000051070,F60858101,B05DY78
Nicox,COXp,CHIX,XPAR,[],FR0013018124,F6533F301,BZ16HF5
Lumibird,LBIRDp,CHIX,XPAR,[],FR0000038242,F7627R110,5336324
Cs Group Sa,SXp,CHIX,XPAR,[],FR0007317813,F2056D138,7004856
Capgemini Se,CAPp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000125338,F4973Q101,4163437
Plastiques Du Val De Loire,PVLp,CHIX,XPAR,[],FR0013252186,F9620W104,BYPFFX5
Societe Pour Linformatique Industrielle,SIIp,CHIX,XPAR,[],FR0000074122,F84073109,5801297
Bonduelle Sca,BONp,CHIX,XPAR,[],FR0000063935,F10689119,5481989
Boiron Sa,BOIp,CHIX,XPAR,[],FR0000061129,F10626103,7622043
Transition Evergreen,EGRp,CHIX,XPAR,[],FR0000035784,F2624W105,5258901
Legrand Sa,LRp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0010307819,F56196185,B11ZRK9
Mcphy Energy Sa,MCPHYp,CHIX,XPAR,[],FR0011742329,F6S02U102,BKF1Y61
Gl Events,GLOp,CHIX,XPAR,[],FR0000066672,F7440W163,7154104
Ipsos,IPSp,CHIX,XPAR,[],FR0000073298,F5310M109,B188NJ2
Ald Sa,ALDp,CHIX,XPAR,[],FR0013258662,F0195N108,BF03BV1
Fermentalg,FALGp,CHIX,XPAR,[],FR0011271600,,BL25DD3
Axa Sa,CSp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600', 'Russell 1000', 'Russell 3000', 'Snp 500']",FR0000120628,F06106102,7088429
Fnac Darty Sa,FNACp,CHIX,XPAR,[],FR0011476928,F3808N101,B7VQL46
Vivendi Se,VIVp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000127771,F97982106,4834777
Sword Group,SWPp,CHIX,XPAR,[],FR0004180578,F91829105,B089JF6
Haulotte Group Sa,PIGp,CHIX,XPAR,[],FR0000066755,F4752U109,5968846
Assystem Sa,ASYp,CHIX,XPAR,[],FR0000074148,F0427A122,5797921
Adux Sa,ADUXp,CHIX,XPAR,[],FR0012821890,F4816V218,BYZR025
Nrj Group,NRGp,CHIX,XPAR,"['Russell 1000', 'Russell 3000', 'Snp 500']",FR0000121691,F6637Z112,5996126
Gaumont Sa,GAMp,CHIX,XPAR,[],FR0000034894,F42567101,4412162
Societe Ldc Sa,LOUPp,CHIX,XPAR,[],FR0013204336,F5588Z105,BD5BPJ2
Parrot Sa,PARROp,CHIX,XPAR,[],FR0004038263,F7096P108,B04VST3
Delta Plus Group,ALDLTp,CHIX,XPAR,[],FR0013283108,F25342191,BD72FV5
Credit Agricole Sa,ACAp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000045072,F22797108,7262610
Robertet Sa,RBTp,CHIX,XPAR,[],FR0000039091,F78649120,4899572
Barbara Bui Sa,BUIp,CHIX,XPAR,"['Russell 1000', 'Russell 3000']",FR0000062788,,5436945
Vranken-Pommery Monopole Sa,VRAPp,CHIX,XPAR,[],FR0000062796,F9815S108,5438435
Latecoere Saca,LATp,CHIX,XPAR,[],FR0000032278,F51177107,7530146
Francaise Energie,FDEp,CHIX,XPAR,[],FR0013030152,F39167105,BZ1FF70
Navya Sas,NAVYAp,CHIX,XPAR,[],FR0013018041,F4952R104,BF2S5R8
Engie Sa,ENGIp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0010208488,F7629A107,B0C2CQ3
