Timestamp,Price,Size,Flag
11/05/2021 13:30:04,151.87,23,
11/05/2021 13:30:04,151.87,136,
11/05/2021 13:30:04,151.87,250,
11/05/2021 13:30:04,151.87,29,
11/05/2021 13:30:04,151.86,2,
11/05/2021 13:30:04,151.87,100,
11/05/2021 13:30:04,151.86,23,
11/05/2021 13:30:04,151.87,73,
11/05/2021 13:30:04,151.87,24,
11/05/2021 13:30:04,151.86,100,
11/05/2021 13:30:04,151.86,81,
11/05/2021 13:30:04,151.84,22,
11/05/2021 13:30:04,151.83,100,
11/05/2021 13:30:04,151.83,100,
11/05/2021 13:30:04,151.85,2,
11/05/2021 13:30:04,151.85,1,
11/05/2021 13:30:04,151.84,10,
11/05/2021 13:30:04,151.84,2,
11/05/2021 13:30:04,151.82,2,
11/05/2021 13:30:04,151.82,15,
11/05/2021 13:30:04,151.82,1,
11/05/2021 13:30:04,151.82,47,
11/05/2021 13:30:04,151.83,100,
11/05/2021 13:30:04,151.83,2,
11/05/2021 13:30:04,151.84,67,
11/05/2021 13:30:04,151.83,100,
11/05/2021 13:30:04,151.83,34,
11/05/2021 13:30:04,151.85,100,
11/05/2021 13:30:04,151.85,151,
11/05/2021 13:30:04,151.85,100,
11/05/2021 13:30:04,151.85,34,
11/05/2021 13:30:04,151.83,100,
11/05/2021 13:30:04,151.83,100,
11/05/2021 13:30:04,151.83,100,
11/05/2021 13:30:05,151.82,35,
11/05/2021 13:30:05,151.82,65,
11/05/2021 13:30:05,151.86,100,
11/05/2021 13:30:05,151.86,10,
11/05/2021 13:30:05,151.86,67,
11/05/2021 13:30:05,151.84,4,
11/05/2021 13:30:05,151.85,23,
11/05/2021 13:30:05,151.84,1,
11/05/2021 13:30:05,151.84,16,
11/05/2021 13:30:05,151.84,23,
11/05/2021 13:30:05,151.84,23,
11/05/2021 13:30:05,151.81,900,
11/05/2021 13:30:05,151.81,100,
11/05/2021 13:30:05,151.81,100,
11/05/2021 13:30:05,151.81,100,
11/05/2021 13:30:05,151.81,100,
11/05/2021 13:30:05,151.81,100,
11/05/2021 13:30:05,151.8,100,
11/05/2021 13:30:05,151.8,24,
11/05/2021 13:30:05,151.83,100,
11/05/2021 13:30:05,151.83,31,
11/05/2021 13:30:06,151.84,31,
11/05/2021 13:30:06,151.86,100,
11/05/2021 13:30:06,151.86,100,
11/05/2021 13:30:06,151.87,100,
